from_stage,to_stage,from_host,to_host,cross_host,n,coverage_pct,min_ms,median_ms,p95_ms,max_ms,negative_count
t_flir_detect,t_flir_log,flir,pc2,True,4632,100.0,2.0,10.0,20.0,3379.0,0
t_flir_log,t_streets_rx,pc2,pc2,False,4632,100.0,0.0,1.0,29.0,43.0,0
t_streets_rx,t_kafka_produce,pc2,pc2,False,4632,100.0,0.0,0.0,1.0,4.0,0
t_kafka_produce,t_kafka_sdo_create,pc2,pc2,False,4632,100.0,-1.0,0.0,0.0,0.0,30
t_kafka_sdo_create,t_sdss_consume,pc2,pc2,False,4564,98.53,5.0,6.0,7.0,17.0,0
t_sdss_consume,t_sdss_send,pc2,pc2,False,4537,97.95,0.0,29.0,47.0,101.0,0
t_sdss_send,t_kafka_sdsm_create,pc2,pc2,False,4537,97.95,0.0,0.0,0.0,1.0,0
t_kafka_sdsm_create,t_streets_sdsm_rx,pc2,pc2,False,4537,97.95,5.0,6.0,7.0,21.0,0
t_streets_sdsm_rx,t_streets_encode,pc2,pc2,False,4537,97.95,0.0,0.0,1.0,2.0,0
t_streets_encode,t_pc2_tena_rx,pc2,pc2,False,4537,97.95,0.0,0.0,1.0,19.0,0
t_pc2_tena_rx,t_pc2_tena_tx,pc2,pc2,False,4537,97.95,0.0,0.0,0.0,2.0,0
t_pc2_tena_tx,t_pc1_tena_rx,pc2,pc1,True,4537,97.95,1.0,3.0,12.0,277.0,0
t_pc1_tena_rx,t_pc1_bus,pc1,pc1,False,4537,97.95,0.0,0.0,1.0,1.0,0
t_pc1_bus,t_immediate_fwd,pc1,pc1,False,4537,97.95,0.0,0.0,1.0,43.0,0
t_immediate_fwd,t_rsu_broadcast,pc1,rsu,True,4534,97.88,-0.455,4.789,10.748,177.338,20
t_rsu_broadcast,t_obu_radio_rx,rsu,obu,True,4519,97.56,7.421,12.626,20.056,37.341,0
t_obu_radio_rx,t_ros_inbound,obu,ros,True,4519,97.56,-5.881,6.63,14.656,20.851,1443
t_ros_inbound,t_ros_j3224,ros,ros,False,4518,97.54,0.571,21.953,122.747,399.023,0
t_ros_j3224,t_ros_fused,ros,ros,False,4532,97.84,0.03,58.263,149.143,500.492,0
