session,run,condition,dwell_sec,detections,obu_payload_matched,reached_vehicle,median_to_rsu_broadcast_ms,median_to_ros_inbound_ms,median_to_ros_fused_ms
20260914_verification_test,5sec_run1,5sec,5,60,False,60,73.8,85.3,197.9
20260914_verification_test,5sec_run2,5sec,5,47,False,47,67.3,80.9,198.0
20260914_verification_test,5sec_run3,5sec,5,80,False,80,76.7,88.9,182.8
20260914_verification_test,5sec_run4,5sec,5,54,False,53,69.5,82.0,166.0
20260914_verification_test,5sec_run5,5sec,5,60,False,60,71.9,84.1,188.9
20260914_verification_test,10sec_run1,10sec,10,92,False,92,63.2,74.4,163.0
20260914_verification_test,10sec_run2,10sec,10,96,False,96,57.9,68.1,221.1
20260914_verification_test,10sec_run3,10sec,10,108,False,107,68.7,78.7,154.2
20260914_verification_test,10sec_run4,10sec,10,119,False,119,64.2,74.5,217.9
20260914_verification_test,10sec_run5,10sec,10,102,False,102,67.6,76.1,199.1
20260914_verification_test,15sec_run1,15sec,15,149,False,149,60.8,70.0,125.9
20260914_verification_test,15sec_run2,15sec,15,157,False,151,58.9,68.2,183.2
20260914_verification_test,15sec_run3,15sec,15,149,False,145,85.7,93.5,212.4
20260914_verification_test,15sec_run4,15sec,15,128,False,128,67.6,75.1,167.0
20260914_verification_test,15sec_run5,15sec,15,135,False,134,72.5,79.5,128.9
20260915_verification_test,20sec_run1,20sec,20,198,True,198,70.7,98.3,209.1
20260915_verification_test,20sec_run2,20sec,20,195,True,195,60.4,84.7,157.0
20260915_verification_test,20sec_run3,20sec,20,202,True,201,62.1,82.9,181.5
20260915_verification_test,20sec_run4,20sec,20,199,True,199,64.0,83.3,169.2
20260915_verification_test,20sec_run5,20sec,20,211,True,204,63.4,82.4,203.4
20260915_verification_test,20sec_run6,20sec,20,210,True,208,64.9,84.1,143.6
20260915_verification_test,20sec_run7,20sec,20,205,True,181,62.5,81.8,187.6
20260915_verification_test,20sec_run8,20sec,20,201,True,201,57.5,76.9,132.5
20260915_verification_test,20sec_run9,20sec,20,198,True,198,58.3,79.7,129.5
20260915_verification_test,20sec_run10,20sec,20,210,True,188,59.5,81.5,134.9
20260915_verification_test,20sec_run11,20sec,20,216,True,192,52.7,79.2,123.5
20260915_verification_test,20sec_run12,20sec,20,216,True,216,66.5,88.3,166.0
20260915_verification_test,20sec_run13,20sec,20,200,True,198,57.5,80.6,189.0
20260915_verification_test,20sec_run14,20sec,20,210,True,208,49.4,71.0,157.7
20260915_verification_test,20sec_run15,20sec,20,225,True,223,111.4,132.3,234.9
