session,run,condition,dwell_sec,window_start,window_end,window_duration_sec,samples,median_s,p95_s,passed
20260914_verification_test,5sec_run1,5sec,5,2026-09-14 14:52:21.689,2026-09-14 14:52:54.294,32.605,60,0.1059,0.3472,True
20260914_verification_test,5sec_run2,5sec,5,2026-09-14 14:56:27.642,2026-09-14 14:57:01.043,33.4,47,0.1125,0.2216,True
20260914_verification_test,5sec_run3,5sec,5,2026-09-14 14:59:37.093,2026-09-14 15:00:13.712,36.62,80,0.1217,0.3085,True
20260914_verification_test,5sec_run4,5sec,5,2026-09-14 15:03:48.805,2026-09-14 15:04:17.317,28.512,53,0.1159,0.3824,True
20260914_verification_test,5sec_run5,5sec,5,2026-09-14 15:08:16.266,2026-09-14 15:08:47.678,31.411,60,0.1167,0.3194,True
20260914_verification_test,10sec_run1,10sec,10,2026-09-14 15:14:25.982,2026-09-14 15:15:00.183,34.201,92,0.092,0.2398,True
20260914_verification_test,10sec_run2,10sec,10,2026-09-14 15:22:14.773,2026-09-14 15:22:46.671,31.897,96,0.1207,0.389,True
20260914_verification_test,10sec_run3,10sec,10,2026-09-14 15:27:50.456,2026-09-14 15:28:26.566,36.11,107,0.0969,0.2532,True
20260914_verification_test,10sec_run4,10sec,10,2026-09-14 15:32:49.913,2026-09-14 15:33:22.918,33.005,119,0.1292,0.3913,True
20260914_verification_test,10sec_run5,10sec,10,2026-09-14 15:37:16.174,2026-09-14 15:37:50.786,34.612,102,0.111,0.4773,True
20260914_verification_test,15sec_run1,15sec,15,2026-09-14 15:41:22.465,2026-09-14 15:41:57.962,35.497,149,0.0919,0.3198,True
20260914_verification_test,15sec_run2,15sec,15,2026-09-14 15:45:44.100,2026-09-14 15:46:23.403,39.303,151,0.1022,0.3173,True
20260914_verification_test,15sec_run3,15sec,15,2026-09-14 15:49:01.369,2026-09-14 15:49:39.007,37.637,145,0.127,0.429,True
20260914_verification_test,15sec_run4,15sec,15,2026-09-14 15:53:42.485,2026-09-14 15:54:18.474,35.989,128,0.0983,0.4079,True
20260914_verification_test,15sec_run5,15sec,15,2026-09-14 15:58:45.441,2026-09-14 15:59:19.047,33.606,134,0.0903,0.2999,True
20260915_verification_test,20sec_run1,20sec,20,2026-09-15 13:22:40.765,2026-09-15 13:23:12.380,31.615,198,0.1265,0.3638,True
20260915_verification_test,20sec_run2,20sec,20,2026-09-15 13:28:06.242,2026-09-15 13:28:43.347,37.104,195,0.1122,0.3569,True
20260915_verification_test,20sec_run3,20sec,20,2026-09-15 13:36:19.941,2026-09-15 13:36:59.560,39.619,201,0.0993,0.1993,True
20260915_verification_test,20sec_run4,20sec,20,2026-09-15 13:41:53.793,2026-09-15 13:42:36.099,42.306,199,0.1081,0.2566,True
20260915_verification_test,20sec_run5,20sec,20,2026-09-15 13:45:16.698,2026-09-15 13:45:55.702,39.004,204,0.1163,0.4431,True
20260915_verification_test,20sec_run6,20sec,20,2026-09-15 13:49:59.107,2026-09-15 13:50:43.916,44.808,208,0.1051,0.4366,True
20260915_verification_test,20sec_run7,20sec,20,2026-09-15 13:53:22.956,2026-09-15 13:53:58.716,35.76,181,0.1045,0.3871,True
20260915_verification_test,20sec_run8,20sec,20,2026-09-15 13:59:59.180,2026-09-15 14:00:38.537,39.356,201,0.0967,0.232,True
20260915_verification_test,20sec_run9,20sec,20,2026-09-15 14:10:01.103,2026-09-15 14:10:41.140,40.037,198,0.0985,0.3175,True
20260915_verification_test,20sec_run10,20sec,20,2026-09-15 14:17:42.348,2026-09-15 14:18:25.146,42.798,188,0.103,0.3006,True
20260915_verification_test,20sec_run11,20sec,20,2026-09-15 14:21:51.746,2026-09-15 14:22:24.552,32.806,191,0.1011,0.2888,True
20260915_verification_test,20sec_run12,20sec,20,2026-09-15 14:26:06.493,2026-09-15 14:26:49.294,42.801,216,0.1114,0.2824,True
20260915_verification_test,20sec_run13,20sec,20,2026-09-15 14:31:54.836,2026-09-15 14:32:38.048,43.212,198,0.1007,0.2453,True
20260915_verification_test,20sec_run14,20sec,20,2026-09-15 14:35:38.057,2026-09-15 14:36:22.062,44.005,208,0.099,0.3115,True
20260915_verification_test,20sec_run15,20sec,20,2026-09-15 14:40:34.844,2026-09-15 14:41:19.937,45.093,223,0.1583,0.4291,True
