condition,run,object_id,t_flir_detect,t_flir_log,t_streets_rx,t_kafka_produce,t_kafka_sdo_create,t_sdss_consume,t_sdss_send,t_kafka_sdsm_create,t_streets_sdsm_rx,t_streets_encode,t_pc2_tena_rx,t_pc2_tena_tx,sdsm_uper_hex,t_pc1_tena_rx,t_pc1_bus,t_immediate_fwd,t_rsu_broadcast,t_ros_inbound,t_ros_j3224,t_ros_fused,t_obu_radio_rx,stages_reached,reached_vehicle,last_stage_reached,d_flir_detect__flir_log_ms,d_flir_log__streets_rx_ms,d_streets_rx__kafka_produce_ms,d_kafka_produce__kafka_sdo_create_ms,d_kafka_sdo_create__sdss_consume_ms,d_sdss_consume__sdss_send_ms,d_sdss_send__kafka_sdsm_create_ms,d_kafka_sdsm_create__streets_sdsm_rx_ms,d_streets_sdsm_rx__streets_encode_ms,d_streets_encode__pc2_tena_rx_ms,d_pc2_tena_rx__pc2_tena_tx_ms,d_pc2_tena_tx__pc1_tena_rx_ms,d_pc1_tena_rx__pc1_bus_ms,d_pc1_bus__immediate_fwd_ms,d_immediate_fwd__rsu_broadcast_ms,d_rsu_broadcast__obu_radio_rx_ms,d_obu_radio_rx__ros_inbound_ms,d_ros_inbound__ros_j3224_ms,d_ros_j3224__ros_fused_ms,lat_flir_log_ms,lat_streets_rx_ms,lat_kafka_produce_ms,lat_kafka_sdo_create_ms,lat_sdss_consume_ms,lat_sdss_send_ms,lat_kafka_sdsm_create_ms,lat_streets_sdsm_rx_ms,lat_streets_encode_ms,lat_pc2_tena_rx_ms,lat_pc2_tena_tx_ms,lat_pc1_tena_rx_ms,lat_pc1_bus_ms,lat_immediate_fwd_ms,lat_rsu_broadcast_ms,lat_obu_radio_rx_ms,lat_ros_inbound_ms,lat_ros_j3224_ms,lat_ros_fused_ms
5sec,5sec_run1,15837,1789411950898,1789411950945,1789411950945,1789411950945,1789411950945,1789411950951,1789411950952,1789411950952,1789411950958,1789411950958,1789411950959,1789411950959,00293221313233343fdfaa5d2d1e39da4299b9055e7a9bd50e2000000000000160590f7758440c66bbfd6bfffff830e800237a0880,1789411950961,1789411950961,1789411950962,1789411950967.4839,1789411950991.1257,1789411950993.6892,1789411951108.3103,1789411950991.8689,20,True,t_ros_fused,47,0,0,0,6,1,0,6,0,1,0,2,0,1,5.48388671875,24.385009765625,-0.7431640625,2.5634765625,114.62109375,47,47,47,47,53,54,54,60,60,61,61,63,63,64,69.48388671875,93.868896484375,93.125732421875,95.689208984375,210.310302734375
5sec,5sec_run1,15837,1789411950992,1789411951006,1789411951006,1789411951007,1789411951007,1789411951015,1789411951052,1789411951052,1789411951058,1789411951058,1789411951058,1789411951058,00293222313233343fdfaa5d2d1e52da4299b9055e7a9bd50e2000000000000160590f77585c0c66bbfd6bfffff831a800237a0880,1789411951061,1789411951061,1789411951061,1789411951066.563,1789411951083.8496,1789411951117.8247,1789411951253.4548,1789411951084.7412,20,True,t_ros_fused,14,0,1,0,8,37,0,6,0,0,0,3,0,0,5.56298828125,18.17822265625,-0.8916015625,33.97509765625,135.630126953125,14,14,15,15,23,60,60,66,66,66,66,69,69,69,74.56298828125,92.7412109375,91.849609375,125.82470703125,261.454833984375
5sec,5sec_run1,15837,1789411951091,1789411951097,1789411951098,1789411951098,1789411951098,1789411951104,1789411951152,1789411951152,1789411951158,1789411951158,1789411951158,1789411951158,00293223313233343fdfaa5d2d1e6bda4299b9055e7a9bd50e2000000000000160590f7758600c66b3fd6bfffff8332800237f0880,1789411951160,1789411951160,1789411951160,1789411951165.687,1789411951181.084,1789411951253.7031,1789411951286.3899,1789411951181.374,20,True,t_ros_fused,6,1,0,0,6,48,0,6,0,0,0,2,0,0,5.68701171875,15.68701171875,-0.2900390625,72.619140625,32.686767578125,6,7,7,7,13,61,61,67,67,67,67,69,69,69,74.68701171875,90.3740234375,90.083984375,162.703125,195.389892578125
5sec,5sec_run1,15837,1789411951190,1789411951198,1789411951199,1789411951199,1789411951199,1789411951205,1789411951251,1789411951251,1789411951257,1789411951257,1789411951257,1789411951258,00293224313233343fdfaa5d2d1e84da4299b9055e7a9bd50e2000000000000160590f7758640c66abfd6bfffff8152800237f0880,1789411951260,1789411951260,1789411951261,1789411951266.2561,1789411951276.2825,1789411951278.3572,1789411951286.3899,1789411951277.2009,20,True,t_ros_fused,8,1,0,0,6,46,0,6,0,0,1,2,0,1,5.256103515625,10.94482421875,-0.91845703125,2.07470703125,8.03271484375,8,9,9,9,15,61,61,67,67,67,68,70,70,71,76.256103515625,87.200927734375,86.282470703125,88.357177734375,96.389892578125
5sec,5sec_run1,15837,1789411951290,1789411951299,1789411951300,1789411951300,1789411951300,1789411951306,1789411951351,1789411951352,1789411951358,1789411951358,1789411951358,1789411951358,00293225313233343fdfaa5d2d1e9dda4299b9055e7a9bd50e2000000000000160590f7758640c66abfd6bfffff810e800237f0880,1789411951361,1789411951361,1789411951361,1789411951366.6101,1789411951379.7612,1789411951400.9387,1789411951520.8076,1789411951380.592,20,True,t_ros_fused,9,1,0,0,6,45,1,6,0,0,0,3,0,0,5.610107421875,13.98193359375,-0.830810546875,21.177490234375,119.868896484375,9,10,10,10,16,61,62,68,68,68,68,71,71,71,76.610107421875,90.592041015625,89.76123046875,110.938720703125,230.8076171875
5sec,5sec_run1,15837,1789411951391,1789411951401,1789411951402,1789411951402,1789411951402,1789411951408,1789411951452,1789411951452,1789411951458,1789411951458,1789411951458,1789411951458,00293226313233343fdfaa5d2d1eb6da4299b9055e7a9bd50e2000000000000160590f7758600c669bfd6bfffff8087000237f0880,1789411951460,1789411951460,1789411951461,1789411951465.9199,1789411951484.571,1789411951521.2207,1789411951597.6877,1789411951485.0891,20,True,t_ros_fused,10,1,0,0,6,44,0,6,0,0,0,2,0,1,4.919921875,19.169189453125,-0.51806640625,36.649658203125,76.467041015625,10,11,11,11,17,61,61,67,67,67,67,69,69,70,74.919921875,94.089111328125,93.571044921875,130.220703125,206.687744140625
5sec,5sec_run1,15837,1789411951492,1789411951502,1789411951503,1789411951503,1789411951503,1789411951509,1789411951551,1789411951551,1789411951557,1789411951557,1789411951558,1789411951558,00293227313233343fdfaa5d2d1ecfda4299b9055e7a9bd50e2000000000000160590f77585c0c669bfd6bfffff809a800237f0880,1789411951562,1789411951562,1789411951562,1789411951567.4971,1789411951575.5823,1789411951599.5327,1789411951690.3228,1789411951575.948,20,True,t_ros_fused,10,1,0,0,6,42,0,6,0,1,0,4,0,0,5.4970703125,8.450927734375,-0.36572265625,23.950439453125,90.7900390625,10,11,11,11,17,59,59,65,65,66,66,70,70,70,75.4970703125,83.947998046875,83.582275390625,107.53271484375,198.32275390625
5sec,5sec_run1,15837,1789411951593,1789411951603,1789411951604,1789411951604,1789411951604,1789411951613,1789411951653,1789411951653,1789411951659,1789411951659,1789411951659,1789411951659,00293228313233343fdfaa5d2d1ee91a4299b9055e7a9bd50e2000000000000160590f77585c0c668bfd6bfffff80ce800237f0880,1789411951662,1789411951662,1789411951662,1789411951667.8218,1789411951679.9031,1789411951690.4553,1789411951787.1448,1789411951680.439,20,True,t_ros_fused,10,1,0,0,9,40,0,6,0,0,0,3,0,0,5.82177734375,12.6171875,-0.535888671875,10.55224609375,96.689453125,10,11,11,11,20,60,60,66,66,66,66,69,69,69,74.82177734375,87.43896484375,86.903076171875,97.455322265625,194.144775390625
5sec,5sec_run1,15837,1789411951692,1789411951706,1789411951707,1789411951707,1789411951707,1789411951713,1789411951752,1789411951752,1789411951758,1789411951758,1789411951759,1789411951759,00293229313233343fdfaa5d2d1f021a4299b9055e7a9bd50e2000000000000160590f7758600c668bfd63fffff80aa800237a0880,1789411951761,1789411951761,1789411951761,1789411951766.625,1789411951777.3054,1789411951787.4631,1789411951928.7361,1789411951778.178,20,True,t_ros_fused,14,1,0,0,6,39,0,6,0,1,0,2,0,0,5.625,11.552978515625,-0.87255859375,10.15771484375,141.27294921875,14,15,15,15,21,60,60,66,66,67,67,69,69,69,74.625,86.177978515625,85.305419921875,95.463134765625,236.736083984375
5sec,5sec_run1,15837,1789411951793,1789411951807,1789411951808,1789411951808,1789411951808,1789411951814,1789411951852,1789411951852,1789411951858,1789411951858,1789411951858,1789411951858,0029322a313233343fdfaa5d2d1f1b1a4299b9055e7a9bd50e2000000000000160590f77585c0c668bfd63fffff80b680023700880,1789411951861,1789411951861,1789411951861,1789411951866.7209,1789411951886.2354,1789411951891.2495,1789411951928.7361,1789411951885.5469,20,True,t_ros_fused,14,1,0,0,6,38,0,6,0,0,0,3,0,0,5.720947265625,18.825927734375,0.6884765625,5.01416015625,37.486572265625,14,15,15,15,21,59,59,65,65,65,65,68,68,68,73.720947265625,92.546875,93.2353515625,98.24951171875,135.736083984375
