run,condition,dwell_sec,burst_duration_sec,burst_start,burst_end,burst_start_ms,burst_end_ms,expected_frames,received_frames,dropped_frames,drop_pct,counter_gaps,lost_after_camera,bursts_in_window,largest_gap_ms
5sec_run1,5sec,5,5.898,2026-09-14 14:52:30.898,2026-09-14 14:52:36.796,1789411950898.0,1789411956796.0,60,60,0,0.0,0,0,2,0.0
5sec_run2,5sec,5,4.604,2026-09-14 14:56:39.543,2026-09-14 14:56:44.147,1789412199543.0,1789412204147.0,47,47,0,0.0,1,0,3,0.0
5sec_run3,5sec,5,4.305,2026-09-14 14:58:07.832,2026-09-14 14:58:12.137,1789412287832.0,1789412292137.0,44,44,0,0.0,1,0,3,0.0
5sec_run4,5sec,5,5.303,2026-09-14 15:03:58.190,2026-09-14 15:04:03.493,1789412638190.0,1789412643493.0,54,54,0,0.0,1,0,2,0.0
5sec_run5,5sec,5,5.906,2026-09-14 15:08:27.661,2026-09-14 15:08:33.567,1789412907661.0,1789412913567.0,60,60,0,0.0,1,0,1,0.0
10sec_run1,10sec,10,9.11,2026-09-14 15:14:37.034,2026-09-14 15:14:46.144,1789413277034.0,1789413286144.0,92,92,0,0.0,1,0,1,0.0
10sec_run2,10sec,10,9.511,2026-09-14 15:22:23.305,2026-09-14 15:22:32.816,1789413743305.0,1789413752816.0,96,96,0,0.0,1,0,2,0.0
10sec_run3,10sec,10,10.705,2026-09-14 15:28:00.057,2026-09-14 15:28:10.762,1789414080057.0,1789414090762.0,108,108,0,0.0,2,0,3,0.0
10sec_run4,10sec,10,11.813,2026-09-14 15:32:59.751,2026-09-14 15:33:11.564,1789414379751.0,1789414391564.0,119,119,0,0.0,2,0,1,0.0
10sec_run5,10sec,10,10.109,2026-09-14 15:37:26.523,2026-09-14 15:37:36.632,1789414646523.0,1789414656632.0,102,102,0,0.0,1,0,3,0.0
15sec_run1,15sec,15,14.819,2026-09-14 15:41:31.768,2026-09-14 15:41:46.587,1789414891768.0,1789414906587.0,149,149,0,0.0,1,0,1,0.0
15sec_run2,15sec,15,13.814,2026-09-14 15:45:53.541,2026-09-14 15:46:07.355,1789415153541.0,1789415167355.0,139,139,0,0.0,1,0,1,0.0
15sec_run3,15sec,15,14.814,2026-09-14 15:49:10.637,2026-09-14 15:49:25.451,1789415350637.0,1789415365451.0,149,149,0,0.0,1,0,1,0.0
15sec_run4,15sec,15,12.714,2026-09-14 15:53:53.321,2026-09-14 15:54:06.035,1789415633321.0,1789415646035.0,128,128,0,0.0,1,0,1,0.0
15sec_run5,15sec,15,13.415,2026-09-14 15:58:55.832,2026-09-14 15:59:09.247,1789415935832.0,1789415949247.0,135,135,0,0.0,1,0,1,0.0
20sec_run1,20sec,20,19.718,2026-09-15 13:22:50.854,2026-09-15 13:23:10.572,1789492970854.0,1789492990572.0,198,198,0,0.0,2,0,3,0.0
20sec_run2,20sec,20,19.419,2026-09-15 13:28:16.282,2026-09-15 13:28:35.701,1789493296282.0,1789493315701.0,195,195,0,0.0,2,0,1,0.0
20sec_run3,20sec,20,20.119,2026-09-15 13:36:30.083,2026-09-15 13:36:50.202,1789493790083.0,1789493810202.0,202,202,0,0.0,3,0,2,0.0
20sec_run4,20sec,20,19.821,2026-09-15 13:42:03.822,2026-09-15 13:42:23.643,1789494123822.0,1789494143643.0,199,199,0,0.0,2,0,1,0.0
20sec_run5,20sec,20,21.021,2026-09-15 13:45:26.828,2026-09-15 13:45:47.849,1789494326828.0,1789494347849.0,211,211,0,0.0,2,0,4,0.0
20sec_run6,20sec,20,20.923,2026-09-15 13:50:09.212,2026-09-15 13:50:30.135,1789494609212.0,1789494630135.0,210,210,0,0.0,3,0,1,0.0
20sec_run7,20sec,20,21.624,2026-09-15 13:53:32.718,2026-09-15 13:53:54.342,1789494812718.0,1789494834342.0,217,217,0,0.0,2,12,6,0.0
20sec_run8,20sec,20,20.022,2026-09-15 14:00:09.920,2026-09-15 14:00:29.942,1789495209920.0,1789495229942.0,201,201,0,0.0,2,0,1,0.0
20sec_run9,20sec,20,19.821,2026-09-15 14:10:10.330,2026-09-15 14:10:30.151,1789495810330.0,1789495830151.0,199,199,0,0.0,2,1,1,0.0
20sec_run10,20sec,20,20.92,2026-09-15 14:17:51.900,2026-09-15 14:18:12.820,1789496271900.0,1789496292820.0,210,210,0,0.0,2,0,1,0.0
20sec_run11,20sec,20,24.426,2026-09-15 14:22:01.953,2026-09-15 14:22:26.379,1789496521953.0,1789496546379.0,245,245,0,0.0,2,10,1,0.0
20sec_run12,20sec,20,21.523,2026-09-15 14:26:17.113,2026-09-15 14:26:38.636,1789496777113.0,1789496798636.0,216,216,0,0.0,2,0,1,0.0
20sec_run13,20sec,20,20.62,2026-09-15 14:32:05.867,2026-09-15 14:32:26.487,1789497125867.0,1789497146487.0,207,198,9,4.348,2,0,1,1002.0
20sec_run14,20sec,20,20.822,2026-09-15 14:35:47.490,2026-09-15 14:36:08.312,1789497347490.0,1789497368312.0,209,209,0,0.0,2,1,1,0.0
20sec_run15,20sec,20,22.424,2026-09-15 14:40:46.694,2026-09-15 14:41:09.118,1789497646694.0,1789497669118.0,225,225,0,0.0,2,0,2,0.0
