session,run,condition,dwell_sec,window_start,window_end,window_duration_sec,checked,received,received_late,dropped,drop_rate_pct,receive_latency_median_ms,passed,obu_payload_matched,ota_received_by_radio,ota_missed_by_radio,ota_reception_pct
20260914_verification_test,5sec_run1,5sec,5,2026-09-14 14:52:21.689,2026-09-14 14:52:54.294,32.605,60,60,0,0,0.0,11.294,True,False,,,
20260914_verification_test,5sec_run2,5sec,5,2026-09-14 14:56:27.642,2026-09-14 14:57:01.043,33.4,47,47,0,0,0.0,12.586,True,False,,,
20260914_verification_test,5sec_run3,5sec,5,2026-09-14 14:59:37.093,2026-09-14 15:00:13.712,36.62,80,80,0,0,0.0,12.114,True,False,,,
20260914_verification_test,5sec_run4,5sec,5,2026-09-14 15:03:48.805,2026-09-14 15:04:17.317,28.512,54,53,0,1,1.852,11.188,True,False,,,
20260914_verification_test,5sec_run5,5sec,5,2026-09-14 15:08:16.266,2026-09-14 15:08:47.678,31.411,60,60,0,0,0.0,11.844,True,False,,,
20260914_verification_test,10sec_run1,10sec,10,2026-09-14 15:14:25.982,2026-09-14 15:15:00.183,34.201,92,92,0,0,0.0,11.105,True,False,,,
20260914_verification_test,10sec_run2,10sec,10,2026-09-14 15:22:14.773,2026-09-14 15:22:46.671,31.897,96,96,0,0,0.0,9.408,True,False,,,
20260914_verification_test,10sec_run3,10sec,10,2026-09-14 15:27:50.456,2026-09-14 15:28:26.566,36.11,108,107,0,1,0.926,9.758,True,False,,,
20260914_verification_test,10sec_run4,10sec,10,2026-09-14 15:32:49.913,2026-09-14 15:33:22.918,33.005,119,119,0,0,0.0,9.404,True,False,,,
20260914_verification_test,10sec_run5,10sec,10,2026-09-14 15:37:16.174,2026-09-14 15:37:50.786,34.612,102,102,0,0,0.0,8.347,True,False,,,
20260914_verification_test,15sec_run1,15sec,15,2026-09-14 15:41:22.465,2026-09-14 15:41:57.962,35.497,149,149,0,0,0.0,8.09,True,False,,,
20260914_verification_test,15sec_run2,15sec,15,2026-09-14 15:45:44.100,2026-09-14 15:46:23.403,39.303,139,139,0,0,0.0,8.528,True,False,,,
20260914_verification_test,15sec_run3,15sec,15,2026-09-14 15:49:01.369,2026-09-14 15:49:39.007,37.637,149,145,0,4,2.685,8.051,False,False,,,
20260914_verification_test,15sec_run4,15sec,15,2026-09-14 15:53:42.485,2026-09-14 15:54:18.474,35.989,128,128,0,0,0.0,7.068,True,False,,,
20260914_verification_test,15sec_run5,15sec,15,2026-09-14 15:58:45.441,2026-09-14 15:59:19.047,33.606,135,134,0,1,0.741,7.14,True,False,,,
20260915_verification_test,20sec_run1,20sec,20,2026-09-15 13:22:40.765,2026-09-15 13:23:12.380,31.615,198,198,0,0,0.0,27.459,True,True,198,0,100.0
20260915_verification_test,20sec_run2,20sec,20,2026-09-15 13:28:06.242,2026-09-15 13:28:43.347,37.104,195,195,0,0,0.0,25.167,True,True,195,0,100.0
20260915_verification_test,20sec_run3,20sec,20,2026-09-15 13:36:19.941,2026-09-15 13:36:59.560,39.619,202,201,0,1,0.495,19.784,True,True,201,1,99.505
20260915_verification_test,20sec_run4,20sec,20,2026-09-15 13:41:53.793,2026-09-15 13:42:36.099,42.306,199,199,0,0,0.0,19.189,True,True,199,0,100.0
20260915_verification_test,20sec_run5,20sec,20,2026-09-15 13:45:16.698,2026-09-15 13:45:55.702,39.004,205,204,0,1,0.488,19.339,True,True,204,1,99.512
20260915_verification_test,20sec_run6,20sec,20,2026-09-15 13:49:59.107,2026-09-15 13:50:43.916,44.808,209,208,0,1,0.478,18.844,True,True,208,2,99.048
20260915_verification_test,20sec_run7,20sec,20,2026-09-15 13:53:22.956,2026-09-15 13:53:58.716,35.76,182,181,0,1,0.549,18.737,True,True,181,2,98.907
20260915_verification_test,20sec_run8,20sec,20,2026-09-15 13:59:59.180,2026-09-15 14:00:38.537,39.356,201,201,0,0,0.0,19.324,True,True,201,0,100.0
20260915_verification_test,20sec_run9,20sec,20,2026-09-15 14:10:01.103,2026-09-15 14:10:41.140,40.037,198,198,0,0,0.0,20.571,True,True,198,0,100.0
20260915_verification_test,20sec_run10,20sec,20,2026-09-15 14:17:42.348,2026-09-15 14:18:25.146,42.798,188,188,0,0,0.0,21.075,True,True,188,0,100.0
20260915_verification_test,20sec_run11,20sec,20,2026-09-15 14:21:51.746,2026-09-15 14:22:24.552,32.806,192,192,0,0,0.0,23.454,True,True,192,0,100.0
20260915_verification_test,20sec_run12,20sec,20,2026-09-15 14:26:06.493,2026-09-15 14:26:49.294,42.801,216,216,0,0,0.0,21.643,True,True,216,0,100.0
20260915_verification_test,20sec_run13,20sec,20,2026-09-15 14:31:54.836,2026-09-15 14:32:38.048,43.212,198,197,0,1,0.505,21.211,True,True,197,1,99.495
20260915_verification_test,20sec_run14,20sec,20,2026-09-15 14:35:38.057,2026-09-15 14:36:22.062,44.005,208,207,0,1,0.481,21.123,True,True,207,1,99.519
20260915_verification_test,20sec_run15,20sec,20,2026-09-15 14:40:34.844,2026-09-15 14:41:19.937,45.093,223,223,0,0,0.0,20.728,True,True,223,0,100.0
