Source,SDSM Time (ms),Detection Time (ms),Object ID,Expected Latitude,Expected Longitude,SDSM Latitude,SDSM Longitude,Expected East (m),Expected North (m),Error East (m),Error North (m),Position Error (m),Speed (m/s),Expected Heading (deg),SDSM Heading (deg),Heading Error (deg)
kafka,1789411950951,1789411950898,15837,38.954940944,-77.148446604,38.954940873,-77.148445799,0.494,-9.553,0.0697,-0.008,0.0702,3.91,178.0,178.0,0.0
kafka,1789411951051,1789411950992,15837,38.954940929,-77.148446924,38.954940873,-77.148445799,0.466,-9.555,0.0975,-0.0063,0.0977,3.966,178.0,178.0,0.0
kafka,1789411951151,1789411951091,15837,38.954940381,-77.148446889,38.954939972,-77.148445799,0.469,-9.616,0.0944,-0.0454,0.1048,4.088,179.0,179.0,-0.0
kafka,1789411951251,1789411951190,15837,38.954939266,-77.148446816,38.954939071,-77.148445799,0.475,-9.74,0.0882,-0.0216,0.0908,1.685,179.0,179.0,-0.0
kafka,1789411951351,1789411951290,15837,38.954939266,-77.148446816,38.954939071,-77.148445799,0.475,-9.74,0.0882,-0.0216,0.0908,1.355,179.0,179.0,-0.0
kafka,1789411951451,1789411951391,15837,38.954938126,-77.148446743,38.95493727,-77.148445799,0.482,-9.866,0.0818,-0.0951,0.1254,0.679,179.0,179.0,-0.0
kafka,1789411951551,1789411951492,15837,38.954937531,-77.148447036,38.95493727,-77.148445799,0.456,-9.932,0.1072,-0.029,0.1111,0.765,179.0,179.0,-0.0
kafka,1789411951652,1789411951593,15837,38.954935754,-77.148446926,38.954935468,-77.148445799,0.466,-10.13,0.0977,-0.0317,0.1027,1.038,179.0,179.0,-0.0
kafka,1789411951752,1789411951692,15837,38.954935738,-77.148447263,38.954935468,-77.148446953,0.437,-10.131,0.0269,-0.0299,0.0402,0.848,178.0,178.0,0.0
kafka,1789411951852,1789411951793,15837,38.954935722,-77.1484476,38.954935468,-77.148446953,0.407,-10.133,0.0561,-0.0282,0.0627,0.907,176.0,176.0,-0.0
kafka,1789411951952,1789411951896,15837,38.954931329,-77.148447357,38.954930964,-77.148446953,0.428,-10.621,0.035,-0.0405,0.0535,1.63,162.0,162.0,-0.0
kafka,1789411952052,1789411951990,15837,38.95492654,-77.148447458,38.95492646,-77.148446953,0.42,-11.153,0.0438,-0.0088,0.0447,2.552,187.0,186.9875,-0.0125
kafka,1789411952152,1789411952091,15837,38.95492654,-77.148447458,38.95492646,-77.148446953,0.42,-11.153,0.0438,-0.0088,0.0447,2.157,183.0,183.0,-0.0
kafka,1789411952252,1789411952191,15837,38.954925824,-77.148447421,38.954925559,-77.148446953,0.423,-11.232,0.0406,-0.0294,0.0501,2.257,183.0,183.0,-0.0
