session,run,condition,dwell_sec,window_start,window_end,window_duration_sec,topics,map_active_periods,map_rate_hz,map_messages,map_passed,spat_active_periods,spat_rate_hz,spat_messages,spat_passed,mom_active_periods,mom_rate_hz,mom_messages,mom_passed,bsm_active_periods,bsm_rate_hz,bsm_messages,bsm_passed,bsm_sent_by_platform,bsm_on_radio,bsm_shortfall,sdsm_on_radio,passed,summary,measured,sdsm_active_periods,sdsm_rate_hz,sdsm_messages,sdsm_passed
20260917,pl-01_run1,pl-01,0,2026-09-17 14:22:35.006,2026-09-17 14:23:27.137,52.132,"MAP,SPAT,MOM,BSM",0,0.978,51,True,0,9.917,517,True,2,1.06,35,True,0,9.994,521,True,521,521,0,0,True,MAP=0.978Hz  SPAT=9.917Hz  MOM=1.06Hz  BSM=9.994Hz,always-on,,,,
20260917,pl-01_run2,pl-01,0,2026-09-17 14:27:00.672,2026-09-17 14:28:22.696,82.024,"MAP,SPAT,MOM,BSM",0,0.988,81,True,0,9.997,820,True,5,1.055,59,True,0,9.997,820,True,820,820,0,0,True,MAP=0.988Hz  SPAT=9.997Hz  MOM=1.055Hz  BSM=9.997Hz,always-on,,,,
20260917,pl-01_run3,pl-01,0,2026-09-17 14:31:35.791,2026-09-17 14:32:35.576,59.785,"MAP,SPAT,MOM,BSM",0,1.004,60,True,0,9.986,597,True,4,1.049,42,True,0,10.002,598,True,598,598,0,0,True,MAP=1.004Hz  SPAT=9.986Hz  MOM=1.049Hz  BSM=10.002Hz,always-on,,,,
20260914_verification_test,5sec_run1,5sec,5,2026-09-14 14:52:21.689,2026-09-14 14:52:54.294,32.605,SDSM,,,,,,,,,,,,,,,,,,,,,True,SDSM=9.834Hz,sdsm,1,9.834,58,True
20260914_verification_test,5sec_run2,5sec,5,2026-09-14 14:56:27.642,2026-09-14 14:57:01.043,33.4,SDSM,,,,,,,,,,,,,,,,,,,,,True,SDSM=9.774Hz,sdsm,1,9.774,45,True
20260914_verification_test,5sec_run3,5sec,5,2026-09-14 14:59:37.093,2026-09-14 15:00:13.712,36.62,SDSM,,,,,,,,,,,,,,,,,,,,,True,SDSM=9.99Hz,sdsm,1,9.99,79,True
20260914_verification_test,5sec_run4,5sec,5,2026-09-14 15:03:48.805,2026-09-14 15:04:17.317,28.512,SDSM,,,,,,,,,,,,,,,,,,,,,True,SDSM=9.806Hz,sdsm,1,9.806,52,True
20260914_verification_test,5sec_run5,5sec,5,2026-09-14 15:08:16.266,2026-09-14 15:08:47.678,31.411,SDSM,,,,,,,,,,,,,,,,,,,,,True,SDSM=9.99Hz,sdsm,1,9.99,59,True
20260914_verification_test,10sec_run1,10sec,10,2026-09-14 15:14:25.982,2026-09-14 15:15:00.183,34.201,SDSM,,,,,,,,,,,,,,,,,,,,,True,SDSM=9.989Hz,sdsm,1,9.989,91,True
20260914_verification_test,10sec_run2,10sec,10,2026-09-14 15:22:14.773,2026-09-14 15:22:46.671,31.897,SDSM,,,,,,,,,,,,,,,,,,,,,True,SDSM=9.883Hz,sdsm,1,9.883,94,True
