run,condition,dwell_sec,valid,invalid_reason,yielded,trial_duration_sec,peak_speed_mps,stop_count,stop_time_sec,stop_duration_sec,distance_to_pedestrian_m,pedestrian_ahead_m,approach_distance_m,start_gap_m,end_gap_m,resume_clearance_m,note
5sec_run1,5sec,5,True,,True,32.6,6.64,1,15.3,1.8,17.8,17.7,41.4,2.7,0.0,4.1,
5sec_run2,5sec,5,True,,True,33.4,6.63,1,18.1,2.1,10.5,10.5,35.7,0.1,0.0,3.7,
5sec_run3,5sec,5,True,,True,36.6,6.56,1,19.3,3.9,4.0,4.0,40.1,0.2,0.0,0.0,
5sec_run4,5sec,5,True,,False,28.5,6.72,0,,,,,44.1,0.2,0.1,,vehicle never stopped during the trial
5sec_run5,5sec,5,True,,True,31.4,6.56,1,16.8,1.9,8.5,-1.3,28.7,1.4,0.1,3.2,
10sec_run1,10sec,10,True,,True,34.2,6.53,1,17.4,2.7,12.7,12.7,38.5,0.1,0.0,2.7,
10sec_run2,10sec,10,True,,True,31.9,6.72,1,16.2,2.2,13.3,13.3,47.7,2.8,0.1,3.4,
10sec_run3,10sec,10,True,,True,36.1,6.61,2,18.9,2.4,19.6,19.6,38.4,8.8,0.0,2.2,
10sec_run4,10sec,10,True,,True,33.0,6.67,1,17.3,2.4,11.3,-3.4,41.0,0.4,0.1,3.1,
10sec_run5,10sec,10,True,,True,34.6,6.7,1,15.5,4.4,17.7,17.5,36.8,0.1,0.1,4.2,
15sec_run1,15sec,15,True,,True,35.5,6.62,1,16.3,4.8,12.0,11.9,42.0,1.9,0.1,2.2,
15sec_run2,15sec,15,False,SDSM drop rate 3.82% over 2%,True,39.3,6.65,1,15.8,8.4,18.3,18.2,40.8,2.7,0.1,6.2,
15sec_run3,15sec,15,False,SDSM drop rate 2.68% over 2%,True,37.6,6.64,1,15.5,6.8,16.9,16.7,43.1,0.3,0.0,4.0,
15sec_run4,15sec,15,True,,True,36.0,6.63,1,16.3,7.1,10.0,10.0,30.5,3.2,0.1,5.6,
15sec_run5,15sec,15,True,,True,33.6,6.62,1,15.7,2.9,13.8,13.2,33.9,3.3,0.0,3.2,
20sec_run1,20sec,20,True,,True,31.6,6.42,1,17.4,5.2,8.3,7.8,39.5,0.2,0.6,1.1,
20sec_run2,20sec,20,True,,True,37.1,6.41,2,24.4,1.8,9.8,9.6,39.3,0.1,0.4,3.9,
20sec_run3,20sec,20,True,,True,39.6,6.43,1,15.0,12.4,20.2,20.1,37.9,0.2,0.2,3.6,
20sec_run4,20sec,20,True,,True,42.3,6.54,1,15.3,12.5,17.2,17.1,37.1,0.8,0.1,4.0,
20sec_run5,20sec,20,False,SDSM drop rate 3.32% over 2%,True,39.0,6.37,1,16.4,14.0,15.2,15.2,38.8,2.1,0.5,5.7,
20sec_run6,20sec,20,True,,True,44.8,6.67,1,15.6,14.3,19.1,19.0,38.8,0.1,0.0,4.6,
20sec_run7,20sec,20,False,12 of 217 frames (5.5%) lost inside the V2XHub plugin; SDSM drop rate 11.71% over 2%,True,35.8,6.66,1,15.2,5.5,19.0,18.2,39.5,0.0,0.0,0.6,
20sec_run8,20sec,20,True,,True,39.3,6.61,1,17.4,10.1,10.1,10.1,36.8,0.0,0.1,3.1,
20sec_run9,20sec,20,True,,True,40.0,6.21,1,17.9,12.8,4.3,4.3,38.3,5.7,0.2,5.1,
20sec_run10,20sec,20,False,SDSM drop rate 10.48% over 2%,True,42.8,6.5,1,16.7,12.9,12.5,-0.8,43.1,1.0,0.0,4.2,
20sec_run11,20sec,20,False,10 of 245 frames (4.1%) lost inside the V2XHub plugin; SDSM drop rate 11.57% over 2%,True,32.8,6.42,1,16.3,6.2,14.3,13.8,38.7,0.0,0.1,0.1,
20sec_run12,20sec,20,True,,True,42.8,6.56,1,17.7,12.3,8.1,8.1,37.8,3.8,0.0,3.6,
20sec_run13,20sec,20,False,camera detection gap of 1.0 s,True,43.2,6.57,2,22.7,4.4,12.9,12.8,40.3,3.5,0.0,2.5,
20sec_run14,20sec,20,True,,True,44.0,6.65,2,25.7,3.5,12.3,12.3,41.5,2.1,0.1,5.5,
20sec_run15,20sec,20,True,,True,45.1,6.47,1,16.9,14.6,14.3,14.3,32.7,0.4,0.0,3.1,
