Created Time(ms),Timestamp(ms),Type,Sensor ID,Projection String,Object ID,Position X(m),Position Y(m),Position Z(m)
1709851195094,2100,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.48,-8.255,-9.655
1709851195200,2200,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.767,-8.746,-9.779
1709851195301,2300,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.634,-8.569,-9.698
1709851195402,2400,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.893,-8.787,-9.872
1709851195512,2500,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.747,-8.509,-9.823
1709851195647,2600,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.694,-9.214,-9.887
1709851195755,2700,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.807,-9.194,-10.069
1709851195864,2800,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.747,-8.854,-9.535
1709851195966,2900,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.714,-8.474,-9.753
1709851196079,3000,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.953,-8.828,-9.834
1709851196195,3100,CAR,IntersectionLidar,+proj=tmerc +lat_0=0 +lon_0=0 +k=1 +x_0=0 +y_0=0 +datum=WGS84 +units=m +geoidgrids=egm96_15.gtx +vunits=m +no_defs,207,-48.83,-9.117,-9.675
