Created Time(ms),Timestamp(ms),Message Count,Source ID,Equipement Type,Reference Position Longitude,Reference Position Latitude,Reference Position Elevation,Objects
1709851195872,2800.0,0,rsu_1234,1,23697,16102,100,"[{'detected_object_data': {'detected_object_common_data': {'obj_type': 1, 'object_id': 207, 'obj_type_cfd': 100, 'measurement_time': 0, 'time_confidence': 0, 'pos': {'offset_x': -88, 'offset_y': -487, 'offset_z': 95}, 'pos_confidence': {'pos': 10, 'elevation': 10}, 'speed': 0, 'speed_confidence': 5, 'speed_z': 0, 'speed_confidence_z': 5, 'heading': 0, 'heading_conf': 4, 'acc_cfd_yaw': 5}, 'detected_object_optional_data': {'detected_vehicle_data': {'size': {'width': 76, 'length': 225}, 'height': 20}}}}]"
1709851196013,3000.0,1,rsu_1234,1,23697,16102,100,"[{'detected_object_data': {'detected_object_common_data': {'obj_type': 1, 'object_id': 207, 'obj_type_cfd': 100, 'measurement_time': 0, 'time_confidence': 0, 'pos': {'offset_x': -84, 'offset_y': -487, 'offset_z': 97}, 'pos_confidence': {'pos': 10, 'elevation': 10}, 'speed': 0, 'speed_confidence': 5, 'speed_z': 0, 'speed_confidence_z': 5, 'heading': 0, 'heading_conf': 4, 'acc_cfd_yaw': 5}, 'detected_object_optional_data': {'detected_vehicle_data': {'size': {'width': 76, 'length': 225}, 'height': 20}}}}]"
1709851196126,3100.0,2,rsu_1234,1,23697,16102,100,"[{'detected_object_data': {'detected_object_common_data': {'obj_type': 1, 'object_id': 207, 'obj_type_cfd': 100, 'measurement_time': 0, 'time_confidence': 0, 'pos': {'offset_x': -88, 'offset_y': -489, 'offset_z': 98}, 'pos_confidence': {'pos': 10, 'elevation': 10}, 'speed': 0, 'speed_confidence': 5, 'speed_z': 0, 'speed_confidence_z': 5, 'heading': 0, 'heading_conf': 4, 'acc_cfd_yaw': 5}, 'detected_object_optional_data': {'detected_vehicle_data': {'size': {'width': 76, 'length': 225}, 'height': 20}}}}]"
1709851196242,3200.0,3,rsu_1234,1,23697,16102,100,"[{'detected_object_data': {'detected_object_common_data': {'obj_type': 1, 'object_id': 207, 'obj_type_cfd': 100, 'measurement_time': 0, 'time_confidence': 0, 'pos': {'offset_x': -91, 'offset_y': -488, 'offset_z': 96}, 'pos_confidence': {'pos': 10, 'elevation': 10}, 'speed': 0, 'speed_confidence': 5, 'speed_z': 0, 'speed_confidence_z': 5, 'heading': 0, 'heading_conf': 4, 'acc_cfd_yaw': 5}, 'detected_object_optional_data': {'detected_vehicle_data': {'size': {'width': 76, 'length': 225}, 'height': 20}}}}]"
1709851196534,3300.0,4,rsu_1234,1,23697,16102,100,"[{'detected_object_data': {'detected_object_common_data': {'obj_type': 1, 'object_id': 207, 'obj_type_cfd': 100, 'measurement_time': 0, 'time_confidence': 0, 'pos': {'offset_x': -89, 'offset_y': -486, 'offset_z': 95}, 'pos_confidence': {'pos': 10, 'elevation': 10}, 'speed': 0, 'speed_confidence': 5, 'speed_z': 0, 'speed_confidence_z': 5, 'heading': 0, 'heading_conf': 4, 'acc_cfd_yaw': 5}, 'detected_object_optional_data': {'detected_vehicle_data': {'size': {'width': 76, 'length': 225}, 'height': 20}}}}]"
1709851196635,3400.0,5,rsu_1234,1,23697,16102,100,"[{'detected_object_data': {'detected_object_common_data': {'obj_type': 1, 'object_id': 207, 'obj_type_cfd': 100, 'measurement_time': 0, 'time_confidence': 0, 'pos': {'offset_x': -86, 'offset_y': -481, 'offset_z': 97}, 'pos_confidence': {'pos': 10, 'elevation': 10}, 'speed': 0, 'speed_confidence': 5, 'speed_z': 0, 'speed_confidence_z': 5, 'heading': 0, 'heading_conf': 4, 'acc_cfd_yaw': 5}, 'detected_object_optional_data': {'detected_vehicle_data': {'size': {'width': 76, 'length': 225}, 'height': 20}}}}]"
1709851196785,3600.0,6,rsu_1234,1,23697,16102,100,"[{'detected_object_data': {'detected_object_common_data': {'obj_type': 1, 'object_id': 207, 'obj_type_cfd': 100, 'measurement_time': 0, 'time_confidence': 0, 'pos': {'offset_x': -89, 'offset_y': -489, 'offset_z': 99}, 'pos_confidence': {'pos': 10, 'elevation': 10}, 'speed': 0, 'speed_confidence': 5, 'speed_z': 0, 'speed_confidence_z': 5, 'heading': 0, 'heading_conf': 4, 'acc_cfd_yaw': 5}, 'detected_object_optional_data': {'detected_vehicle_data': {'size': {'width': 76, 'length': 225}, 'height': 20}}}}]"
1709851196885,3700.0,7,rsu_1234,1,23697,16102,100,"[{'detected_object_data': {'detected_object_common_data': {'obj_type': 1, 'object_id': 207, 'obj_type_cfd': 100, 'measurement_time': 0, 'time_confidence': 0, 'pos': {'offset_x': -88, 'offset_y': -482, 'offset_z': 98}, 'pos_confidence': {'pos': 10, 'elevation': 10}, 'speed': 0, 'speed_confidence': 5, 'speed_z': 0, 'speed_confidence_z': 5, 'heading': 0, 'heading_conf': 4, 'acc_cfd_yaw': 5}, 'detected_object_optional_data': {'detected_vehicle_data': {'size': {'width': 76, 'length': 225}, 'height': 20}}}}]"
1709851197021,3800.0,8,rsu_1234,1,23697,16102,100,"[{'detected_object_data': {'detected_object_common_data': {'obj_type': 1, 'object_id': 207, 'obj_type_cfd': 100, 'measurement_time': 0, 'time_confidence': 0, 'pos': {'offset_x': -87, 'offset_y': -488, 'offset_z': 102}, 'pos_confidence': {'pos': 10, 'elevation': 10}, 'speed': 0, 'speed_confidence': 5, 'speed_z': 0, 'speed_confidence_z': 5, 'heading': 0, 'heading_conf': 4, 'acc_cfd_yaw': 5}, 'detected_object_optional_data': {'detected_vehicle_data': {'size': {'width': 76, 'length': 225}, 'height': 20}}}}]"
1709851197129,3900.0,9,rsu_1234,1,23697,16102,100,"[{'detected_object_data': {'detected_object_common_data': {'obj_type': 1, 'object_id': 207, 'obj_type_cfd': 100, 'measurement_time': 0, 'time_confidence': 0, 'pos': {'offset_x': -86, 'offset_y': -483, 'offset_z': 98}, 'pos_confidence': {'pos': 10, 'elevation': 10}, 'speed': 0, 'speed_confidence': 5, 'speed_z': 0, 'speed_confidence_z': 5, 'heading': 0, 'heading_conf': 4, 'acc_cfd_yaw': 5}, 'detected_object_optional_data': {'detected_vehicle_data': {'size': {'width': 76, 'length': 225}, 'height': 20}}}}]"
