Node/Component,Mean (ms),Min (ms),Median (ms),Max (ms),Std Dev,Count
approaching_emergency_vehicle_plugin,0.0041517284355526395,0.000662,0.002977,0.69095,0.0182577770883997,3049
arbitrator,0.003076961575408261,0.00044100000000000004,0.002206,0.18843800000000002,0.01085704190236346,1041
bsm_generator,0.012238535552491629,0.001092,0.003472,5.753299,0.15301251164380214,5077
cooperative_lanechange,0.00561847619047619,0.001546,0.003834,0.38660500000000003,0.02030346079398069,1029
cpp_message,0.3995793151458138,0.052236000000000005,0.108021,10.359285,0.8057937940798234,1063
j2735_convertor,0.04425820884289746,0.01042,0.016552,5.34576,0.2238345438216059,1063
lci_strategic_plugin,0.01905903976721629,0.006735,0.01207,0.883866,0.049443952392262486,1031
plan_delegator,0.007614502984084881,0.000734,0.00307,7.285678,0.13565303891021427,3016
pure_pursuit,0.013425926153846156,0.001743,0.0053915000000000005,5.691145,0.10292564051804184,5200
route_following_plugin,0.045929313875598086,0.017644,0.029474,3.9272440000000004,0.14740368504730128,1045
sci_strategic_plugin,0.018792356589147286,0.007164,0.0117925,0.9778819999999999,0.05095071155266971,1032
trajectory_executor,0.012272916274694259,0.000646,0.0022719999999999997,7.9734929999999995,0.2465545914150979,1063
twist_filter,0.042213582557417764,0.009859999999999999,0.0166285,7.05099,0.23767682125798484,3222
twist_gate,0.006993526543452614,0.0006940000000000001,0.0029245,2.780104,0.0632217047739918,5086
yield_plugin,0.016491520000000003,0.005228,0.008943000000000001,0.736997,0.04768841527995983,1025
