Source,SDSM Time (ms),Detection Time (ms),Object ID,Expected Latitude,Expected Longitude,SDSM Latitude,SDSM Longitude,Expected East (m),Expected North (m),Error East (m),Error North (m),Position Error (m),Speed (m/s),Expected Heading (deg),SDSM Heading (deg),Heading Error (deg)
mcap,1789063076404,1789063076310,984,38.954942479,-77.14844829,38.954941773,-77.148448107,0.348,-9.383,0.0159,-0.0783,0.0799,1.285,192.0,192.0,-0.0
mcap,1789063076505,1789063076411,984,38.954938637,-77.148448089,38.95493817,-77.148446953,0.365,-9.81,0.0985,-0.0518,0.1113,1.709,202.0,202.0,0.0
mcap,1789063076606,1789063076510,984,38.954937468,-77.14844836,38.95493727,-77.148448107,0.342,-9.939,0.022,-0.022,0.0311,1.972,188.0,187.9875030517578,-0.0125
mcap,1789063076707,1789063076611,984,38.954937468,-77.14844836,38.95493727,-77.148448107,0.342,-9.939,0.022,-0.022,0.0311,1.92,186.0,185.9875030517578,-0.0125
mcap,1789063076808,1789063076712,984,38.954937468,-77.14844836,38.95493727,-77.148448107,0.342,-9.939,0.022,-0.022,0.0311,1.582,185.0,185.0,0.0
mcap,1789063076909,1789063076813,984,38.954936882,-77.148448331,38.954936369,-77.148448107,0.344,-10.004,0.0195,-0.057,0.0602,1.248,183.0,183.0,-0.0
mcap,1789063077010,1789063076913,984,38.95493447,-77.148448213,38.954933666,-77.148448107,0.354,-10.272,0.0092,-0.0892,0.0897,0.93,183.0,183.0,-0.0
mcap,1789063077111,1789063077013,984,38.954933222,-77.148448152,38.954932766,-77.148446953,0.36,-10.411,0.1039,-0.0507,0.1156,0.943,183.0,183.0,-0.0
mcap,1789063077212,1789063077113,984,38.954928617,-77.148447927,38.954928262,-77.148446953,0.379,-10.922,0.0844,-0.0395,0.0932,1.967,184.0,184.0,0.0
mcap,1789063077414,1789063077311,984,38.9549286,-77.148448285,38.954928262,-77.148448107,0.348,-10.924,0.0155,-0.0376,0.0406,1.899,185.0,185.0,0.0
mcap,1789063077515,1789063077412,984,38.954927893,-77.148448615,38.954927361,-77.148448107,0.319,-11.002,0.0441,-0.0591,0.0737,1.53,185.0,185.0,0.0
mcap,1789063077616,1789063077510,984,38.954925772,-77.148448525,38.954925559,-77.148448107,0.327,-11.238,0.0362,-0.0235,0.0432,1.724,185.0,185.0,0.0
mcap,1789063077717,1789063077612,984,38.9549228,-77.148448776,38.954921956,-77.148448107,0.305,-11.568,0.058,-0.0936,0.1101,1.362,185.0,185.0,0.0
mcap,1789063077818,1789063077713,984,38.954921247,-77.148449097,38.954921056,-77.148448107,0.278,-11.74,0.0859,-0.0213,0.0885,1.711,184.0,184.0,0.0
mcap,1789063077919,1789063077814,984,38.954921247,-77.148449097,38.954921056,-77.148448107,0.278,-11.74,0.0859,-0.0213,0.0885,1.649,184.0,184.0,0.0
mcap,1789063078020,1789063077914,984,38.954921247,-77.148449097,38.954921056,-77.148448107,0.278,-11.74,0.0859,-0.0213,0.0885,1.482,184.0,184.0,0.0
mcap,1789063078121,1789063078013,984,38.954921247,-77.148449097,38.954921056,-77.148448107,0.278,-11.74,0.0859,-0.0213,0.0885,1.01,185.0,185.0,0.0
mcap,1789063078222,1789063078114,984,38.954919692,-77.148448653,38.954919254,-77.148448107,0.316,-11.913,0.0474,-0.0486,0.0679,0.703,184.0,184.0,0.0
mcap,1789063078323,1789063078212,984,38.954918076,-77.148448589,38.954917453,-77.148448107,0.322,-12.092,0.0418,-0.0692,0.0809,0.713,185.0,185.0,0.0
mcap,1789063078424,1789063078312,984,38.954914714,-77.148448457,38.954913849,-77.148448107,0.333,-12.465,0.0303,-0.096,0.1006,1.46,185.0,185.0,0.0
mcap,1789063078524,1789063078412,984,38.954911164,-77.148448316,38.954911147,-77.148448107,0.345,-12.86,0.0182,-0.0019,0.0183,2.248,186.0,185.9875030517578,-0.0125
mcap,1789063078625,1789063078613,984,38.954911144,-77.14844873,38.954910246,-77.148448107,0.309,-12.862,0.0541,-0.0997,0.1134,1.966,224.0,224.0,0.0
